COD_ACTE,DT_MODIF,NOM_COURT
JLNL005,2024-11-04,curiethér. vag. à bas débit dosi 2D radio
JLNL006,2024-11-04,curiethér. vag. à pulsé dosi 2D radio
JLNL007,2024-11-04,curiethér. vag. à pulsé dosi 1D
JLNL008,2024-11-04,curiethér. vag. à ht débit dose dosi 1D
JLPA001,2024-11-04,incisions radiées diaphragme vag.
JLQE001,2024-11-04,vaginoscopie
JLQE002,2024-11-04,colposcopie
JLQH002,2024-11-04,colpo-cysto-rectographie dynamique
JLQX004,2024-11-04,EXAM ANAPATH K PIÈCE COLPECTOMIE PARTIELLE / TOTALE
JLSD001,2024-11-04,ferm. vag.
JMBA001,2024-11-04,plicature infra-urétrale ab. vag.
JMCA001,2024-11-04,suture déchirure obst. périnée +lés. rectum
JMCA002,2024-11-04,suture déchirure obst. vag. vulve +/- périnée
JMCA003,2024-11-04,suture déchirure obst. périnée +lés. sphinct. anus
JMCA004,2024-11-04,suture déchirure obst. périnée +lés. vessie/ur.
JMCA005,2024-11-04,suture vulve
JMCA006,2024-11-04,suture vulve +anus sans suture sphinct. anus
JMDA001,2024-11-04,soutènement vés. myoplastie infra-urétrale ab. vag.
JMEA001,2024-11-04,transposition clitoris
EGCA002,2024-11-04,suture tr/branches viscérales vn iliaq +/- VCI infrahép. laparo
EGCA003,2024-11-04,pontage vn fém.iliaq homolat. fémorocave/fém.rén ab. direct
EGCA004,2024-11-04,anast. saphénocaverneuse
EGED001,2024-11-04,réduc. procidence hémorroïdaire int. agrafage circul. v.anale
EGFA001,2024-11-04,hémorroïdectomie péd. semifermée/fermée
EGFA002,2024-11-04,hémorroïdectomie péd. ssmuq +anoplast. post. +sphinctérotomie int.
EGFA003,2024-11-04,hémorroïdectomie péd. ssmuq
JKDA002,2024-11-04,hystéropexie post +cervicocystopexie au lig. pectinéal laparo
JKDA003,2024-11-04,hystéropexie post. laparo
JKDA042,2024-11-04,hystéropexie ant. laparo
JKDC001,2024-11-04,hystéropexie post. coelio.
JKDC015,2024-11-04,hystéropexie ant. coelio.
JKFA001,2024-11-04,hystérect. part. +annexectomie +suspension post. col ut. laparo
JKFA002,2024-11-04,hystérect. tot. +colpopérinéorraphies ant. +post. ab. vag.
JKFA003,2024-11-04,exérèse 1hémiutérus malformé laparo
JKFA004,2024-11-04,hystérect. tot. +annexectomie +suspension post. dôme vag. laparo
JKFA005,2024-11-04,hystérect. tot. +annexectomie ab. vag.
JKFA006,2024-11-04,hystérect. tot. +annexectomie coelio. +ab. vag.
JKFA007,2024-11-04,hystérect. tot+annexectomie +colpopérinéorraphies ant+post. ab. vag.
JEFA010,2024-11-04,résec.anast ur. post. laparo sans ab. transsymphysaire
JGNL001,2024-11-04,curiethér. prostate I125
JGQH001,2024-11-04,déférentovésiculographie pct conduit déférent +guid écho
JGQH003,2024-11-04,déférentovésiculographie cathé. endos. des conduits éjaculateurs
JDCA004,2024-11-04,cystostom. contin. +ferm. col vés. laparo
JDCC016,2024-11-04,suture vessie coelio.
JDCJ001,2024-11-04,cystostomie transcut. +guid écho
JDDA002,2024-11-04,cervicocystopexie indirecte au lig. pectinéal laparo
JDDA003,2024-11-04,cervicocystopexie bandelette ab. vag. +transcut. +guid endos.
HMJE001,2024-11-04,drainage conduit bil/pancr. v. nasale pdt 1endos. O.G.D
HMJE127,2024-11-04,DRAIN BIL + ENDOPROTH TRANSLUM APPOSITION OESOGASTRODUOSCOPIE+ÉCHOENDO
HMJH001,2024-11-04,drainage ext. plus. VB +Stent transcut. +guid écho +/-radio
JEFA009,2024-11-04,résec.anast ur. mbnx ab périné
JEFA011,2024-11-04,résec.anast ur. bulbaire ab périné
JEFA012,2024-11-04,résec.anast ur. post. laparo +ab. transsymphysaire
JEFE001,2024-11-04,résec. T. ur. endos.
JEFE003,2024-11-04,résec. sphincter strié ur. endos.
JEFE004,2024-11-04,résec. sténose ur. à anse coupante endos.
JEFE005,2024-11-04,résec. valve ur. endos.
JEGA002,2024-11-04,abl. proth. sphinct. périurétrale pénienne/bulbomembraneuse ab. direct
JEGA003,2024-11-04,abl. C.E ur. ab. direct
JEGA004,2024-11-04,abl proth sphinct péricerv/périprost homme laparo
JEGA005,2024-11-04,abl. 1proth. sphinct. urin. péricervicale chez femme laparo
JEGB005,2024-11-04,abl. proth. sphinct. ajust. périurétrale homme transcut.
JEGE001,2024-11-04,abl. C.E ur. ur.scopie
JEGE002,2024-11-04,abl. 1endoproth. temp. ur. endos.
JEGE003,2024-11-04,épilation ur. endos.
JEGE004,2024-11-04,abl. 1endoproth. définitive ur. endos.
JEHD001,2024-11-04,frottis +/- prélèv. ur.
JEHE001,2024-11-04,biopsie ur. à anse coupante endos.
JEHE002,2024-11-04,biopsie ur. à pince endos.
JEKA002,2024-11-04,changt cplt proth. pénis ab. direct
JEKA005,2024-11-04,changt manchon gonflable 1proth. pénis ab. direct
JEKA006,2024-11-04,changt manchon gonfl proth sphinct péricerv femme laparo
JVQF001,2024-11-04,éval. dose dialyse périt. prélèv. mult. sang +dialysat
LAGA381,2024-11-04,ABLAT APPAREIL AUDITIF À CONDUCTION OS IMPLANTÉ DANS OS TEMPORAL
LAHA001,2024-11-04,biopsie crâne ab. direct
LAHA002,2024-11-04,biopsie 1os face ab. direct
LAHH002,2024-11-04,biopsie crâne +/- face transcut. guid radio
JMFA005,2024-11-04,vulvectomie tot. +curage inguinal unilat.
JMFA006,2024-11-04,amput. clitoris
JMFA007,2024-11-04,vulvectomie tot. sans curage ggl.
JMFA008,2024-11-04,vulvectomie part. +curage inguinal unilat.
JMFA009,2024-11-04,vulvectomie tot. +curage inguinal bilat.
JMFA010,2024-11-04,vulvectomie tot. +curage inguinal +iliaq unilat.
JMMA001,2024-11-04,vestibuloplastie +enfouissement/résec. clitoris pr féminisation
JMMA002,2024-11-04,vulvopérinéoplastie
JMMA004,2024-11-04,clitoridoplastie réduc.
HMQH002,2024-11-04,cholangiopancréatographie rétrograde +mano oddienne O-G-Dscopie
HMQH003,2024-11-04,O-G-Dscopie +cholangio +infundibulotomie/coupe papille duod. Majeure
HMQH004,2024-11-04,cholangio transcut. +guid écho +/-radio
HMQH005,2024-11-04,cholangiopancréatographie rétrograde sans mano oddienne O-G-Dscopie
JELD001,2024-11-04,inj. ssmuq périurétrocervicale mat. hétérologue v.basse +guid endos.
JELE001,2024-11-04,inj. ssmuq intra-urétrale mat. hétérologue endos.
JELE002,2024-11-04,pose 1endoproth. ur. endos.
JELE003,2024-11-04,pose 1endoproth. ur. cervicoprostatique endos.
JEMA001,2024-11-04,ur.cerv.plast continence +entérocystoplastie agrandt laparo
JEMA002,2024-11-04,ur.cerv.plast continence laparo
JEMA003,2024-11-04,retouche cicatrice cut. après ur.plast
JEMA004,2024-11-04,ur.plast pr méga-urètre cong.
JEMA005,2024-11-04,plastie ur. post. lambeau péd.
JEMA006,2024-11-04,ur.plast pr hypospadias périnéoscrotal +redressement pénis
JEMA007,2024-11-04,plastie ur. ant. lambeau péd.
JEMA009,2024-11-04,ur.plast chez femme
JEMA010,2024-11-04,plastie ur. ant. lambeau libre
JEMA011,2024-11-04,méatoplastie ur. ab. direct chez garçon
JEMA012,2024-11-04,ur.plast balanique/rétroméatique
JEMA013,2024-11-04,méatoplastie ur. ab. direct chez fille
JEMA014,2024-11-04,ur.plast pr hypospadias balanique/pénien ant. +reconstr. prépuce
JEMA015,2024-11-04,reconstr. ur. ant. après mise à plat
JEMA016,2024-11-04,méatoplastie ur. +lambeau préputial/cut. chez adulte
GFQX007,2024-11-04,EXAM ANAPATH K PNEUMONECT / PLSRS LOBECT PULM + RÉSEC CÔTE & / VERTÈB
GFQX008,2024-11-04,ANAPATH K PNEUMONECT / PLSRS LOBECT PULM SANS RÉSEC CÔTE / VERTÈB
GFQX009,2024-11-04,ANAPATH K PULM NON ANAT & / SEGMENT DIFF SANS RÉSEC CÔTE / VERTÈB
GFQX010,2024-11-04,EXAM ANAPATH K EXÉR PULM NON ANAT & / SEGMENT + RÉSEC CÔTE & / VERTÈB
GFQX020,2024-11-04,EXAM HISTOPATH BIOPSIE POUMON + COLOR SPÉC POUR DIAG AFFECTION NON K
GGBA001,2024-11-04,interposition lambeau pleural/péricardique pdt 1itv intrathor.
LANC001,2024-11-04,meulage extracrân. crâne vidéochirurgie
LAPA001,2024-11-04,traitt infect. crâne
LAPA002,2024-11-04,o.tomie os zyg. ab. facial
LAPA003,2024-11-04,décompr. orbite effondrement 3parois ab. direct
JDFA011,2024-11-04,cystectomie part. laparo
JDFA012,2024-11-04,exérèse plaque 1exstrophie vés. +dériv. urin. sans o.tomie bassin
JDFA013,2024-11-04,exérèse plaque exstrophie vés.+dériv. urin.+cure  H ing
JDFA014,2024-11-04,cystectomie part. +implant. pr curithér. vessie laparo
JDFA015,2024-11-04,cystectomie supratrigonale +néovessie +réimplant. urét.vés laparo
JDFA016,2024-11-04,cystectomie tot+ néovessie orthotopique détubulée laparo
JAQJ001,2024-11-04,écho rénale écho vésicoprostat v.rectale
JAQL001,2024-11-04,scinti rein sans épreuve pharmaco
JAQL002,2024-11-04,scinti rénale corticale
HMLH002,2024-11-04,pose plus. endoproth. ds des VB +guid écho +/-radio
HMLH003,2024-11-04,pose 1endoproth. bil. préalablement drainé +guid écho +/-radio
HMMA001,2024-11-04,internalisation IIre 1drainage bil. ext. déjà place
HMMA002,2024-11-04,internalisation IIre plus. drainages bil. ext. déjà place
HMNE001,2024-11-04,lithotritie méc. des VB O-G-Dscopie
HMNE002,2024-11-04,lithotritie VB cholangioscopie rétrograde
HMNJ002,2024-11-04,lithotritie VB cholangioscopie 1drain transcut. déjà place
HMNJ003,2024-11-04,lithotritie VB cholangioscopie transcut.
HMNM001,2024-11-04,lithotritie extracorporelle des VB
HMPE001,2024-11-04,sphinctérotomie bil.O-G-Dscopie
HMQA001,2024-11-04,endos. perop. des v. bil. ab. transcystique/cholédochotomie
HMQE001,2024-11-04,cholangioscopie 1orifice drainage bil. ext. déjà place
HMQG002,2024-11-04,cholangioscopie transcut. +guid écho +/-radio
HMQH001,2024-11-04,cholangioscopie incis. bucc.
HTQH002,2024-11-04,défécographie
HTRD001,2024-11-04,rééduc. anorect. +rétroctrl mano cav. sans électrostim.
HTRD002,2024-11-04,rééduc. anorect. +rétroctrl mano cav. +électrostim.
HTRD003,2024-11-04,test continence anorect. aux liquides
HZHE001,2024-11-04,prélèv. pr analyse biol. pdt 1endos. diag. des v. dig.
GGCA001,2024-11-04,pleurostomie cut. +résec. costale thor.tomie
GGFA001,2024-11-04,exérèse T. plèvre thor.tomie +prépa. thor.scopie
GGFA003,2024-11-04,exérèse T. plèvre thor.tomie
GGHB001,2024-11-04,pct 1épanchement pleural sans guid
GGHB002,2024-11-04,biopsie plèvre transcut. sans guid
GGJA001,2024-11-04,évac. collection septique cav. pleurale +débridement thor.tomie
GGJA002,2024-11-04,évac. collection cav. pleurale thor.tomie
GGJA003,2024-11-04,décaillotage cav. pleurale thor.tomie
GGJA004,2024-11-04,évac. collection cav. pleurale +résec. costale thor.tomie
GGJB002,2024-11-04,évac. 1épanchement cav. pleurale transcut. sans guid
EFSA001,2024-11-04,ligature vn superf. des mb/cou ab. direct
EGAF001,2024-11-04,dilat. intraluminale vn rénale sans Stent v.v
EGAF002,2024-11-04,dilat. intraluminale vn iliaq ext. +/- vn iliaq commune +Stent v.v
EGAF003,2024-11-04,dilat. intraluminale vn iliaq ext. +/- vn iliaq commune sans Stent v.v
EGFA004,2024-11-04,thrombectomie vn fém.iliaq ab. fém.
EGFA005,2024-11-04,résec. 1paquet hémorroïdaire isolé
EGFA006,2024-11-04,résec. vn fém. +/- vn iliaq +reconstr. ab. direct
EGFA007,2024-11-04,excision 1thrombose hémorroïdaire
EGFA008,2024-11-04,résec/ligature vn testiculaire ab. direct +embol. IV
EGFA009,2024-11-04,résec. vn fém. +/- vn iliaq sans reconstr. ab. direct
BCHA001,2024-11-04,biopsie conj.
BGFA007,2024-11-04,exérèse T. choroïde +iridocyclectomie
BGFA008,2024-11-04,vitrectomie méc. cplmtaire ab. ant.
BGFA009,2024-11-04,vitrectomie ab. post. +endocoag rétine Laser/diathermie
BGFA010,2024-11-04,vitrectomie (sclérot. post.) +coag. rétine +tampnt int. prov.
BGFA011,2024-11-04,vitrectomie (sclérot. post.) +extr. cristallin
BGFA012,2024-11-04,exérèse lés. sclère
BGFA014,2024-11-04,sclérectomie prof. incomplèt./sclérokératect. prof.
JDFA017,2024-11-04,cystectomie part. +réimplant. urét.vés laparo
JDFA018,2024-11-04,résec/incision col vés. ab. direct
JDFA019,2024-11-04,vésiculo-prostato-cystectomie tot. +anast. urét.col directe laparo
JDFA020,2024-11-04,vés-prost-cyst.tomie tot. +urét.stom détubulée continente laparo
JDFA021,2024-11-04,vés-prost-cystect tot. +néovessie détubulée laparo
JDFA022,2024-11-04,vés-prost-cystectomie tot+anast. urét.col +réservoir détubulé laparo
JDFA023,2024-11-04,vésiculo-prostato-cystectomie tot. +urét.stom cut. laparo
JDFA024,2024-11-04,vésiculo-prostato-cystectomie tot. laparo
JEPE154,2024-11-04,DECOMPRES URETRE DISPOSITIF INTRAPROSTATIQUE PAR URETROCYSTOSCOPIE
JEPH001,2024-11-04,incision valve ur. endos. +ctrl Rx
JEQD001,2024-11-04,profilométrie ur.
JEQD002,2024-11-04,sphinctérométrie cathé. ur.
JEQX005,2024-11-04,EXAM ANAPATH K PIÈCE URÉTÉRECTOMIE PARTIELLE / TOTALE
KANB001,2024-11-04,hypophysiolyse fct v. transsphénoïdale
KBFA001,2024-11-04,exérèse lés. région pinéale craniot.
KCFA001,2024-11-04,lobectomie unilat. gld thyroïde cerv.tomie
KCFA002,2024-11-04,thyroïdectomie tot. +résec. part. cart. larynx cerv.tomie
KCFA003,2024-11-04,thyroïdectomie tot. +résec. non interruptrice trachée cerv.tomie
KCFA004,2024-11-04,isthmectomie gld thyroïde cerv.tomie
KCFA005,2024-11-04,thyroïdectomie tot. cerv.tomie
KCFA006,2024-11-04,thyroïdectomie tot. +résec. interruptrice +anast. trachée cerv.tomie
KCFA007,2024-11-04,thyroïdectomie tot. cerv.thor.tomie
KCFA008,2024-11-04,lobo-isthmectomie unilat. gld thyroïde cerv.tomie
KCFA009,2024-11-04,thyroïdectomie part. cerv.thor.tomie
EZMA004,2024-11-04,création 1FAV pr accès vasc. sans superficialisation vn sujet <20kg
EZMH001,2024-11-04,ctrl Rx IIre dispositif accès vasc/endoproth. vasc. inj. prod. Rxopaq
HZHE002,2024-11-04,biopsie paroi tube dig/VB pdt 1endos. diag.
HZHE004,2024-11-04,coloration +/- tatouage paroi tube dig. pdt 1endos. diag.
HZHE005,2024-11-04,macrobiopsie paroi tube dig. pdt 1endos. diag.
HZMP002,2024-11-04,ctrl radio. 1sonde dig. 1drain bil/1endoproth. bil. +opacification
JHFA010,2024-11-04,pulpectomie testiculaire ab. scrotal
JHFA011,2024-11-04,amput. tot. pénis
JHFA012,2024-11-04,exérèse lés. testicule ab. scrotal
JHFA013,2024-11-04,résec. tunique vag. testicule ab. scrotal
JHFA014,2024-11-04,épididymectomie ab. scrotal
JHFA015,2024-11-04,exérèse lés. peau pénis gland +/- sillon balanopréputial sans AG/LR
JHFA016,2024-11-04,amput. part. pénis
JHFA017,2024-11-04,orchidectomie ab. scrotal
JKFA008,2024-11-04,trachélectomie ab. vag.
JKFA009,2024-11-04,trachélectomie sur col restant ut. laparo
JKFA011,2024-11-04,trachélectomie sur col restant ut. ab. vag.
KCHJ001,2024-11-04,pct 1lés. gld thyroïde transcut. +guid écho
KCHJ002,2024-11-04,biopsie plus. lés. gld thyroïde transcut. +guid écho
KCHJ003,2024-11-04,biopsie 1lés. gld thyroïde transcut. +guid écho
KCHJ004,2024-11-04,pct plus. lés. gld thyroïde transcut. +guid écho
KCJA001,2024-11-04,évac. collection loge thyroïdienne cerv.tomie
KCJB001,2024-11-04,évac. collection gld thyroïde +/- sa loge transcut.
KCMA001,2024-11-04,totalisation IIre thyroïdectomie cerv.tomie
KCNL003,2024-11-04,irrad. int. gld thyroïde inj. I131à 1dose < 1GBq
KCNL004,2024-11-04,irrad. int. gld thyroïde inj. I131à 1dose sup. à 1GBq
KCQL001,2024-11-04,scinti gld thyroïde +mesure isotop. fixation thyroïdienne iode
KCQL002,2024-11-04,mesure isotop. fixation thyroïdienne iode
KCQL003,2024-11-04,scinti gld thyroïde
KCQM001,2024-11-04,écho gld thyroïde
KCQX004,2024-11-04,EXAM ANAPATH K PIÈCE THYROÏDECTOMIE SUBTOTALE / TOTALE
KCQX005,2024-11-04,EXAM ANAPATH K PIÈCE LOBECTOMIE / LOBO-ISTHMECTOMIE THYROÏDIENNE
KDEA001,2024-11-04,réimplant. IIre parathyroïde
KDFA001,2024-11-04,parathyroïdectomie tot. +réimplant. immédiate parathyroïde
JHLA003,2024-11-04,pose 1proth. pénienne rigide/semirigide
JHLA004,2024-11-04,pose 1proth. pénienne hydraulique +composant extracav.
JHLA005,2024-11-04,pose 1proth. testicule ab. inguinal
JHLB001,2024-11-04,inj vasoactif ds les corps cav. pénis transcut.
EGFA010,2024-11-04,résec/ligature vn testiculaire ab. direct
EGFC001,2024-11-04,résec/ligature vn testiculaire coelio.
EGHF001,2024-11-04,prélèv. sang. bilat. étagés/simultanés des vn rénales v.v
EGHF002,2024-11-04,prélèv. sang. bilat. étagés/simultanés des vn gonadiques v.v
EGHF003,2024-11-04,prélèv. sang. bilat. étagés/simultanés des vn surrénales v.v
EGJA001,2024-11-04,évac. 1thrombose hémorroïdaire ext.
EGJF001,2024-11-04,thromboaspiration vn rénale v.v
EGJF002,2024-11-04,thromboaspiration vn iliaq ext. +/- vn iliaq commune v.v
EGLF001,2024-11-04,pose 1cathé. vn ombilical
EGLF002,2024-11-04,séance inj. sclérosante des hémorroïdes
EGNF001,2024-11-04,fibrinolyse in situ vn rénale v.v
EGNF002,2024-11-04,fibrinolyse in situ vn iliaq ext. +/- vn iliaq commune v.v
EGNP001,2024-11-04,séance traitt instrumental des hémorroïdes procédé phys.
EGPA001,2024-11-04,décompr. vn iliaq laparo
EGPF001,2024-11-04,recanalisation vn iliaq ext. +/- vn iliaq commune +Stent v.v
EGSA001,2024-11-04,interruption des vn drainage pénis ab. direct
HCNM900,2024-11-04,Lithotritie de la glande parotide
HCNM901,2024-11-04,Lithotritie de la glande submandibulaire
JEKA007,2024-11-04,changt manchon gonfl proth sphinct péricerv/périur.prost homme laparo
JEKA008,2024-11-04,changt cplt proth sphinct péricerv/périprost homme laparo
JEKA009,2024-11-04,changt cplt 1proth. sphinct. urin. péricervicale chez femme laparo
JBPE001,2024-11-04,urét.pyél.tom/urét.tomie urét.scopie rétrograde
JBPE002,2024-11-04,urét.pyél.tom/urét.tomie néphroscopie 1néphrostom
JBPG001,2024-11-04,urét.pyél.tom/urét.tomie néphroscopie transcut.
JBPH001,2024-11-04,urét.pyél.tom/urét.tomie guid radio
JBQE001,2024-11-04,urétéro-pyélo-caliscopie rétrograde v. ur.
JBQG001,2024-11-04,urétéro-pyélo-caliscopie transcut.
JBQG002,2024-11-04,pyélocaliscopie transcut.
JBQH001,2024-11-04,urét.pyél.graph desc. transcut. +guid écho +/-radio
JBQH002,2024-11-04,urét.pyél.graph rétrograde
JBQH003,2024-11-04,urét.pyél.graph desc. 1néphrostom
JBQL001,2024-11-04,scinti élimination pyélo-urétérale
JCAD001,2024-11-04,dilat. uret. 1néphrostom
JCAE001,2024-11-04,dilat. uret. urét.scopie rétrograde
JCAF001,2024-11-04,dilat. uret. transcut.
JCAH001,2024-11-04,dilat. uret. urétrocystoscopie guid radio
JCCA002,2024-11-04,urét.stom cut. ab. direct
ABLB002,2024-11-04,pose 1capteur ventr. P.I.C transcrân.
ABLB003,2024-11-04,pose 1capteur extraventr. P.I.C transcrân.
ABLB006,2024-11-04,séance inj. ventr/intrakystique céréb. chimio 1dispositif implanté
JHLB002,2024-11-04,infiltr. plaque sclérose albuginée des corps cav. pénis transcut.
JHMA001,2024-11-04,plastie prépuce pénis
JHMA002,2024-11-04,reconstr. peau pénis gref. cut.
JHMA003,2024-11-04,reconstr. prépuce pénis
JHMA004,2024-11-04,phalloplastie lambeau cut. tub. pénien
JHMA005,2024-11-04,plastie scrotum pr éléphantiasis
JHMA006,2024-11-04,confection 1spermatocèle
JHMA007,2024-11-04,phalloplastie lambeau libre
LAPB002,2024-11-04,Dégagement + activation 1 implant dentaire chez adulte
LAPB003,2024-11-04,Dégagement + activation 3 implants dentaires chez adulte
LAPB004,2024-11-04,Dégagement + activation 2 implants dentaires chez adulte
LAPB005,2024-11-04,Dégagement + activation 5 implants dentaires chez adulte
JDAD001,2024-11-04,distension hydrostatique vessie
JDCA001,2024-11-04,cystostom. contin. sans ferm. col vés. laparo
ABMA002,2024-11-04,révision/changt élmt 1dériv. int. LCS ab. direct
ABMA003,2024-11-04,révision/changt élmt 1dériv. int. LCS craniot.
ABML001,2024-11-04,vérification isotop. 1dériv. LCS
ABMP001,2024-11-04,ctrl+/-réglage IIre transcut. valve dériv. LCS à pression réglable
ABQL002,2024-11-04,cisternographie isotop.
ABQL003,2024-11-04,rech. isotop. 1brèche ostéoméningée
ABQP001,2024-11-04,surv. continue P.I.C/24h
ABSA001,2024-11-04,ferm. 1brèche ostéodurale étage moy. base craniot.
ABSA002,2024-11-04,ferm. 1brèche ostéodurale étage moy. base ab. labyrinth.
ABSA003,2024-11-04,ferm. 1brèche ostéodurale sinus frontal ab. coronal
ABSA004,2024-11-04,ferm. 1brèche ostéodurale étage moy. base ab. ab mastoïde
ABSA005,2024-11-04,ferm. 1brèche ostéodurale/1méningocèle étage ant. base ab. orbitaire
ABSA006,2024-11-04,ferm. 1brèche ostéodurale étage moy. base ab. suprapétreux
ABSA007,2024-11-04,ferm. 1brèche ostéodurale/1méningocèle étage ant. base craniot.
ABSA008,2024-11-04,ferm. 1fistule postop LCS base
ABSA009,2024-11-04,ferm. 1fistule LCS/1méningocèle postop voûte craniot.
ABSA010,2024-11-04,ferm. 1brèche ostéodurale/1méningocèle étage ant. base ab. lat.nasal
DGSA002,2024-11-04,ferm. FAV aort.cav iliocave/ilio-iliaque +pontage art. laparo
DGSA003,2024-11-04,ferm. 1fenêtre aort.pulm thor.tomie +CEC
DGSA004,2024-11-04,ferm. fistule aort.dig/iliodigestive +pontage aort.aort. abd. laparo
DGSA005,2024-11-04,hémostase IIre à 1acte sur aort. abd/ses branches laparo
DHAF001,2024-11-04,dilat. intraluminale VCSup +Stent v.v
DHAF002,2024-11-04,dilat. intraluminale VCI sans Stent v.v
DHAF003,2024-11-04,dilat. intraluminale VCSup sans Stent v.v
ADPC004,2024-11-04,vagotomie tronculaire thor.scopie
ADPC900,2024-11-04,section nf crânien vidéochir intracrân.
ADQB001,2024-11-04,EMG musc. ptérygoïdien lat. aiguille
ADQB002,2024-11-04,EMG détection musc releveur paup sup+/-musc oculomoteurs aiguille
ADQP002,2024-11-04,électrooculographie sensorielle
BAPA001,2024-11-04,section péd. 1lambeau hétéropalpébral
BAPA002,2024-11-04,incision collection paup.
BAPA003,2024-11-04,désinsertion musc. sans gref. pr rétraction paup. inf.
BAPA004,2024-11-04,canthotomie lat.
HKQE001,2024-11-04,anuscopie
HKQX005,2024-11-04,EXAM ANAPATH K PIÈCE EXÉRÈSE CANAL ANAL & / MARGE ANALE
HKSD001,2024-11-04,hémostase IIre à 1acte sur anus
HLCA001,2024-11-04,hép-porto-stom pr atrésie des VBEH laparo
HLCA002,2024-11-04,fenestration kystes bil. hépatiques laparo
HLCC001,2024-11-04,fenestration kystes bil. hépatiques coelio.
HLEA001,2024-11-04,gref. foie tot.
HLEA002,2024-11-04,gref. foie réduit
HLFA001,2024-11-04,prélèv. 1gref. hép. tot. sujet DCD +partage foie
HLFA002,2024-11-04,résec. kyste hyd foie laparo
HLFA003,2024-11-04,résec. lobe caudé foie laparo
HLFA004,2024-11-04,hépatectomie dte élargie au lobe caudé laparo
HLFA005,2024-11-04,lobectomie hép. dte laparo
JDCA002,2024-11-04,cystostomie cut. laparo
JDCA003,2024-11-04,suture vessie laparo
JHFC001,2024-11-04,orchidectomie pr cryptorchidie abd. coelio.
JHGA001,2024-11-04,abl. 1proth. pénienne hydraulique +composant extracav.
JHGA002,2024-11-04,abl. 1proth. testicule
JHGA003,2024-11-04,abl. 1proth. pénienne sans composant extracav.
JHHA001,2024-11-04,biopsie pénis
JHHA002,2024-11-04,biopsie unilat. testicule ab. direct
JHHA003,2024-11-04,biopsie bilat. testicule ab. direct
JHHB001,2024-11-04,pct des corps cav. pénis
JHHB002,2024-11-04,biopsie testicule transcut.
JHJA001,2024-11-04,évac/m.à.plat abcès scrotum ab. direct
JHJB001,2024-11-04,évac. hydrocèle +inj. prod. sclérosant transcut.
JHJB002,2024-11-04,lavage des corps cav. pénis transcut.
JHJB003,2024-11-04,évac. hydrocèle sans inj. prod. sclérosant transcut.
JHKA002,2024-11-04,changt 1proth. testicule ab. inguinal
JHKA003,2024-11-04,changt 1proth. pénienne hydraulique sans composant extracav.
JHKA004,2024-11-04,changt 1proth. pénienne hydraulique +composant extracav.
JHLA001,2024-11-04,armature 1néopénis
JHLA002,2024-11-04,pose 1proth. pénienne hydraulique sans composant extracav.
MBEB001,2024-11-04,réduc. progr frac. humérus traction continue sqlt
MBEP001,2024-11-04,réduc. frac. prox. humérus/frac. diaphys. humérus
MBEP002,2024-11-04,réduc. frac. dist. humérus
MBEP003,2024-11-04,réduc. progr frac. humérus traction continue non sqlt
MBFA001,2024-11-04,résec. en bloc 1extrémité +/- diaphys. humérus
MBFA002,2024-11-04,résec. 1extrémité +/- diaphys. humérus continuité conservée os.
MBGA001,2024-11-04,évidemt épiph. prox. humérus cart. épiph. actif +comblt
JASA001,2024-11-04,hémostase plaie/frac. rein pose filet périrénal ab. direct
JBCA001,2024-11-04,pyélostomie cut. ab. direct
JBFA001,2024-11-04,exérèse T. pyélique +/- calicielle +néphrostomie transcut.
JBFA002,2024-11-04,résec.anast bassinet +jonction pyélo-urétérale ab. direct
JBFC001,2024-11-04,résec.anast bassinet +jonction pyélo-urétérale coelio
JBFE001,2024-11-04,exérèse T. pyélique +/- calicielle endos. rétrograde
JBHE001,2024-11-04,biopsie v. excrétrice sup. endos. rétrograde
JMEA002,2024-11-04,lambeau neurovasc. péd. clitoris
JMFA001,2024-11-04,exérèse glde Bartholin
JMFA002,2024-11-04,exérèse lés. vulvopérinéale
JMFA003,2024-11-04,vulvectomie part. sans curage ggl.
BAPA005,2024-11-04,désinsertion musc. +gref. pr rétraction paup. inf.
BAQP001,2024-11-04,exam. fct motricité palp. +épreuves pharmaco
BASA001,2024-11-04,ferm. colobome palp.
BBCA001,2024-11-04,laco-dacryo-cysto-rhinostomie sans laser
BBCA003,2024-11-04,dacryo-cysto-rhinostomie ab. facial
BBCE001,2024-11-04,dacryo-cysto-rhinostomie endos. nasale
BBFA001,2024-11-04,exérèse gld lacrymale +o.tomie
BBFA002,2024-11-04,exérèse +/- plastie 1point lacrymal
BBFA003,2024-11-04,exérèse sac lacrymal
BBFA004,2024-11-04,exérèse gld lacrymale sans o.tomie
BBGA001,2024-11-04,abl. C.E des v.lacrym. ab. direct
BBHA001,2024-11-04,biopsie gld lacrymale
BBHA002,2024-11-04,biopsie sac lacrymal
BBJD001,2024-11-04,lavage des v.lacrym.
BBLA001,2024-11-04,pose pompe à larmes
BBLD001,2024-11-04,intub. bicanaliculaire homolat. des v.lacrym.
BBLD002,2024-11-04,pose obt/clou-trou méatique sur 1point lacrymal
BBLD003,2024-11-04,sondage des v.lacrym.
BBLD004,2024-11-04,intub. monocanaliculaire des v.lacrym.
BBMA002,2024-11-04,rétabl. continuité des c.lacrymaux pr rupture
